bigg_id	name	old_bigg_ids	inchikey
1a2425thvitd3_m	1-alpha,24R,25-Trihydroxyvitamin D3	1a2425thvitd3; 1a2425thvitd3[m]; 1a2425thvitd3_m	WFZKUWGUJVKMHC-UKBUZQLGSA-N
20ahchsterol_m	20alpha-hydroxy cholesterol	20ahchsterol; 20ahchsterol[m]; 20ahchsterol_m	MCKLJFJEQRYRQT-APGJSSKUSA-N
2425dhvitd2_m	24R,25-Dihyoxyvitamin D2	2425dhvitd2; 2425dhvitd2[m]; 2425dhvitd2_m	
2dp6mep_m	2-Decaprenyl-6-methoxyphenol	2dp6mep; 2dp6mep[m]; 2dp6mep_m	FYLLWSGFAAQKHU-GBBROCKZSA-N
2dp6mobq_m	2-Decaprenyl-6-methoxy-1,4-benzoquinone	2dp6mobq; 2dp6mobq[m]; 2dp6mobq_m	POYJNCVGTDCCPK-RDSVHMIISA-N
3aib_m	L-3-Amino-isobutanoate	3aib; 3aib[m]; 3aib_m	QCHPKSFMDHPSNR-VKHMYHEASA-N
3hibutcoa_m	(S)-3-Hydroxyisobutyryl-CoA	3hibutcoa; 3hibutcoa[m]; 3hibutcoa_m	WWEOGFZEFHPUAM-UQCJFRAESA-N
3mb2coa_m	3-Methylbut-2-enoyl-CoA	3mb2coa; 3mb2coa[m]; 3mb2coa_m	BXIPALATIYNHJN-ZMHDXICWSA-N
3mgcoa_m	3-Methylglutaconyl-CoA	3mgcoa; 3mgcoa[m]; 3mgcoa_m	GXKSHRDAHFLWPN-NTEUORMPSA-N
3sala_m	3-Sulfino-L-alanine	3sala; 3sala[m]; 3sala_m	ADVPTQAUNPRNPO-REOHCLBHSA-N
3snpyr_m	3-Sulfinopyruvate	3snpyr; 3snpyr[m]; 3snpyr_m	JXYLQEMXCAAMOL-UHFFFAOYSA-N
4tmeabut_m	4-Trimethylammoniobutanal	4tmeabut; 4tmeabut[m]; 4tmeabut_m	OITBLCDWXSXNCN-UHFFFAOYSA-N
5hoxindoa_m	5-Hydroxyindoleacetate	5hoxindoa; 5hoxindoa[m]; 5hoxindoa_m	DUUGKQCEGZLZNO-UHFFFAOYSA-N
7dhf_m	Heptaglutamyl folate (DHF)	7dhf; 7dhf[m]; 7dhf_m	
7thf_m	Heptaglutamyl folate (THF)	7thf; 7thf[m]; 7thf_m	
L2aadp_m	L 2 Aminoadipate C6H10NO4	L2aadp; L2aadp[m]; L2aadp_m	
aact_m	Aminoacetone	aact; aact[m]; aact_m	BCDGQXUMWHRQCB-UHFFFAOYSA-N
acac_m	Acetoacetate	acac; acac[m]; acac_m	WDJHALXBUFZDSR-UHFFFAOYSA-M
aldstrn_m	Aldstrn c	aldstrn; aldstrn[m]; aldstrn_m	
alpa_hs_m	Lysophosphatidic acid (homo sapiens)	alpa_hs; alpa_hs_m	
apoC_m	Apocarboxlase (no lys residue)	apoC; apoC[m]; apoC_m	
apoC_Lys_btn_m	Holocarboxylase (biotin covalent bound to Lys residue of apoC)	apoC_DASH_Lys_btn_m; apoC_Lys_btn; apoC_Lys_btn[m]; apoC_Lys_btn_m; apoC__Lys_btn_m	
arachdcoa_m	C20:4-CoA	arachdcoa; arachdcoa[m]; arachdcoa_m	JDEPVTUUCBFJIW-YQVDHACTSA-N
btamp_m	Biotinyl 5  AMP C20H27N7O9PS	btamp; btamp[m]; btamp_m	
cbl1_m	Cob(I)alamin	cbl1; cbl1[m]; cbl1_m	FEZWOUWWJOYMLT-DSRCUDDDSA-L
cdpdag_hs_m	CDP diacylglycerol (homo sapiens)	cdpdag_hs; cdpdag_hs[m]; cdpdag_hs_m	
chol_m	Choline C5H14NO	chol; chol[m]; chol_m	
citr__L_m	L-Citrulline	citr_DASH_L_m; citr_L[m]; citr_L_m; citr__L; citr__L_m	RHGKLRLOHDJJDR-BYPYZUCNSA-N
clpndcrn_m	Clupanodonyl carnitine	clpndcrn; clpndcrn[m]; clpndcrn_m	AOSDFVDGMYPTHD-NQXOOMTHSA-N
cyan_m	Hydrogen cyanide	cyan; cyan[m]; cyan_m	LELOWRISYMNNSU-UHFFFAOYSA-N
dctp_m	DCTP C9H12N3O13P3	dctp; dctp[m]; dctp_m	
dd2coa_m	Trans-Dodec-2-enoyl-CoA	dd2coa; dd2coa[m]; dd2coa_m	IRFYVBULXZMEDE-DEEZISNZSA-N
decdp_m	All trans Decaprenyl diphosphate	decdp; decdp[m]; decdp_m	FSCYHDCTHRVSKN-CMVHWAPMSA-N
dgsn_m	Deoxyguanosine	dgsn; dgsn[m]; dgsn_m	YKBGVTZYEHREMT-KVQBGUIXSA-N
dhcholestanate_m	3alpha,7alpha-Dihydroxy-5beta-cholestanate	dhcholestanate; dhcholestanate[m]; dhcholestanate_m	ITZYGDKGRKKBSN-HKFUITGCSA-N
dmhptcoa_m	2,6 dimethylheptanoyl-CoA	dmhptcoa; dmhptcoa[m]; dmhptcoa_m	GPXWBKWDXPBLKS-LNSOOWQSSA-N
dmnoncoa_m	4,8 dimethylnonanoyl-CoA	dmnoncoa; dmnoncoa[m]; dmnoncoa_m	YGNKJFPEXQCWDB-ANHZDMDASA-N
dtdp_m	DTDP C10H13N2O11P2	dtdp; dtdp[m]; dtdp_m	
eicostetcoa_m	Eicosatetranoyl coenzyme A	eicostetcoa; eicostetcoa[m]; eicostetcoa_m	PLHICYKOPITJJT-SQQKTXSXSA-N
glac_m	D-glucurono-6,3-lactone	glac; glac[m]; glac_m	UYUXSRADSPPKRZ-SKNVOMKLSA-N
gmp_m	GMP C10H12N5O8P	gmp; gmp[m]; gmp_m	
hdd2crn_m	Trans-Hexadec-2-enoyl carnitine	hdd2crn; hdd2crn[m]; hdd2crn_m	SOYNLLDADLOGAM-ISLYRVAYSA-N
ibcoa_m	Isobutyryl-CoA	ibcoa; ibcoa[m]; ibcoa_m	AEWHYWSPVRZHCT-NDZSKPAWSA-N
lneldccrn_m	Linoelaidyl carnitine	lneldccrn; lneldccrn[m]; lneldccrn_m	MJLXQSQYKZWZCB-OKLKQMLOSA-N
mescon_m	Mesaconate;(E)-2-Methyl-2-butenedioic acid	mescon; mescon[m]; mescon_m	
n4abutn_m	N4 Acetylaminobutanal C6H11NO2	n4abutn; n4abutn[m]; n4abutn_m	
od2coa_m	Trans-Octadec-2-enoyl-CoA	od2coa; od2coa[m]; od2coa_m	NBCCUIHOHUKBMK-ZDDAFBBHSA-N
phpyr_m	Phenylpyruvate	phpyr; phpyr[m]; phpyr_m	BTNMPGBKDVTSJY-UHFFFAOYSA-N
ppa_m	Propionate (n-C3:0)	ppa; ppa[m]; ppa_m	
pyam5p_m	Pyridoxamine 5'-phosphate	pyam5p; pyam5p[m]; pyam5p_m	ZMJGSOSNSPKHNH-UHFFFAOYSA-N
sl__L_m	Sl  L c	sl_DASH_L_m; sl_L[m]; sl__L; sl__L_m	
so3_m	Sulfite	hso3; hso3_m; so3; so3[m]; so3_m	LSNNMFCWUKXFEE-UHFFFAOYSA-L
stcrn_m	Stearoylcarnitine	stcrn; stcrn[m]; stcrn_m	FNPHNLNTJNMAEE-HSZRJFAPSA-N
tetpent6coa_m	Tetracosapentaenoyl coenzyme A, n-6	tetpent6coa; tetpent6coa[m]; tetpent6coa_m	XZYNVQDKYRHKFG-AHZYLBGRSA-N
tettet6crn_m	Tetracosatetraenoyl carnitine	tettet6crn; tettet6crn[m]; tettet6crn_m	OVCKQONNZPULLZ-FGROWHMVSA-N
thm_m	Thiamin	thm; thm[m]; thm_m	JZRWCGZRTZMZEH-UHFFFAOYSA-N
thmmp_m	Thiamin monophosphate	thmmp; thmmp[m]; thmmp_m	HZSAJDVWZRBGIF-UHFFFAOYSA-O
tmndnccoa_m	Timnodonyl coenzyme A	tmndnccoa; tmndnccoa[m]; tmndnccoa_m	JWZLRYCDDXHXDL-BCYDWBPESA-N
tmndnccrn_m	Timnodonyl carnitine	tmndnccrn; tmndnccrn[m]; tmndnccrn_m	
tsul_m	Thiosulfate	tsul; tsul[m]; tsul_m	DHCDFWKWKRSZHF-UHFFFAOYSA-L
vacccrn_m	Vaccenyl carnitine	vacccrn; vacccrn[m]; vacccrn_m	
vitd3_m	Calciol; (+)-Vitamin D3	vitd3; vitd3[m]; vitd3_m	
xol7ah2_m	3alpha,7alpha-Dihydroxy-5beta-cholestane	xol7ah2; xol7ah2[m]; xol7ah2_m	APYVEUGLZHAHDJ-TVRYRFOISA-N
6pthp_n	6-Pyruvoyl-5,6,7,8-tetrahydropterin	6pthp; 6pthp[n]; 6pthp_n	WBJZXBUVECZHCE-UHFFFAOYSA-N
Nmelys_n	Histone N6-methyl-L-lysine	Nmelys; Nmelys[n]; Nmelys_n	
ach_n	Acetylcholine	ach; ach[n]; ach_n	OIPILFWXSMYKGL-UHFFFAOYSA-N
dag_hs_n	Diacylglycerol (homo sapiens)	dag_hs; dag_hs[n]; dag_hs_n	
dcmp_n	DCMP C9H12N3O7P	dcmp; dcmp[n]; dcmp_n	
didp_n	DIDP; 2'-deoxyinosine-5'-diphosphate(3-)	didp; didp[n]; didp_n	
dna_n	DNA	dna; dna[n]; dna_n	
for_n	Formate	for; for[n]; for_n	BDAGIHXWWSANSR-UHFFFAOYSA-M
gtp_n	GTP C10H12N5O14P3	gtp; gtp[n]; gtp_n	
mi1346p_n	1D-myo-Inositol 1,3,4,6-tetrakisphosphate	mi1346p; mi1346p[n]; mi1346p_n	ZAWIXNGTTZTBKV-IUHIMVDQSA-N
nadph_n	Nicotinamide adenine dinucleotide phosphate - reduced	nadph; nadph[n]; nadph_n	ACFIXJIJDZMPPO-NNYOXOHSSA-N
nmn_n	NMN C11H14N2O8P	nmn; nmn[n]; nmn_n	
ppmi1346p_n	Diphosphoinositol tetrakisphosphate C6H7O24P6	ppmi1346p; ppmi1346p[n]; ppmi1346p_n	
retn_n	Retinoate	retn; retn[n]; retn_n	SHGAZHPCJJPHSC-YCNIQYBTSA-N
thbpt_n	Tetrahydrobiopterin	thbpt; thbpt[n]; thbpt_n	FNKQXYHWGSIFBK-UHFFFAOYSA-N
12harachd_r	12 hydroxy arachidonic acid	12harachd; 12harachd[r]; 12harachd_r	HVRRTPWRYUQZPF-STORLSOUSA-N
17ahprgnlone_r	17alpha-Hydroxypregnenolone	17ahprgnlone; 17ahprgnlone[r]; 17ahprgnlone_r	JERGUCIJOXJXHF-TVWVXWENSA-N
18harachd_r	18 hydroxy arachidonic acid	18harachd; 18harachd[r]; 18harachd_r	
44mctr_r	4 4 dimethylcholesta 8 14 24 trienol C29H46O	44mctr; 44mctr[r]; 44mctr_r	
4hpro_LT_r	Trans 4 Hydroxy L proline C5H9NO3	4hpro_DASH_LT_r; 4hpro_LT; 4hpro_LT[r]; 4hpro__LT_r	
5adtststeroneglc_r	5alpha-Dihydrotestosterone glucuronide	5adtststeroneglc; 5adtststeroneglc[r]; 5adtststeroneglc_r	CLQMBSSRTBUNDV-CPKOJWPQSA-N
6pgc_r	6-Phospho-D-gluconate	6pgc; 6pgc[r]; 6pgc_r	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
Ser_Gly_Ala_X_Gly_r	Protein-linked serine residue (glycosaminoglycan attachment site)	Ser_DASH_Gly_FSLASH_Ala_DASH_X_DASH_Gly_r; Ser_Gly_Ala_X_Gly; Ser_Gly_Ala_X_Gly[r]; Ser__Gly_FSLASH_Ala__X__Gly_r	
acald_r	Acetaldehyde	acald; acald[r]; acald_r	IKHGUXGNUITLKF-UHFFFAOYSA-N
adp_r	ADP C10H12N5O10P2	adp; adp[r]; adp_r	
ahandrostanglc_r	Etiocholan-3alpha-ol-17-one 3-glucuronide	ahandrostanglc; ahandrostanglc[r]; ahandrostanglc_r	VFUIRAVTUVCQTF-SDHZCXLISA-N
akg_r	2-Oxoglutarate	akg; akg[r]; akg_r	KPGXRSRHYNQIFN-UHFFFAOYSA-N
amet_r	S-Adenosyl-L-methionine	amet; amet[r]; amet_r	MEFKEPWMEQBLKI-AIRLBKTGSA-N
andrstandn_r	5alpha-androstane-3,17-dione	andrstandn; andrstandn[r]; andrstandn_r	RAJWOBJTTGJROA-WZNAKSSCSA-N
bilglcur_r	Bilirubin monoglucuronide	bilglcur; bilglcur[r]; bilglcur_r	
crm_hs_r	Ceramide (homo sapiens)	crm_hs; crm_hs[r]; crm_hs_r	
crn_r	L-Carnitine	crn; crn[r]; crn_r	PHIQHXFUZVPYII-ZCFIWIBFSA-N
dem2emgacpail_prot_hs_r	Deacylated-(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol	dem2emgacpail_prot_hs; dem2emgacpail_prot_hs[r]; dem2emgacpail_prot_hs_r	
dhcholoylcoa_r	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	dhcholoylcoa; dhcholoylcoa_r	SEBZZAWTQNNGPK-YOKOLYSVSA-N
doldp_U_r	Dolichol diphosphate, human uterine homolog	doldp_U; doldp_U_r	
dolichol_U_r	Dolichol, human uterine homolog	dolichol_U; dolichol_U[r]; dolichol_U_r	
ecgon_r	Ecgon r	ecgon; ecgon[r]; ecgon_r	
em2emgacpail_hs_r	(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (H7)	em2emgacpail_hs; em2emgacpail_hs[r]; em2emgacpail_hs_r	
em3gacpail_hs_r	Phosphoethanolaminyl-trimannosyl-glucosaminyl-acylphosphatidylinositol (H6')	em3gacpail_hs; em3gacpail_hs[r]; em3gacpail_hs_r	
estriol_r	Estriol c	estriol; estriol[r]; estriol_r	
fad_r	Flavin adenine dinucleotide oxidized	fad; fad[r]; fad_r	
frdp_r	Farnesyl diphosphate	frdp; frdp[r]; frdp_r	VWFJDQUYCIWHTN-YFVJMOTDSA-N
g1m6masnB1_r	Glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	g1m6masnB1; g1m6masnB1[r]; g1m6masnB1_r	
g2m8mpdol_U_r	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	g2m8mpdol_U; g2m8mpdol_U_r	
hdca_r	Hexadecanoate (n-C16:0)	hdca; hdca[r]; hdca_r	IPCSVZSSVZVIGE-UHFFFAOYSA-N
hmgcoa_r	Hydroxymethylglutaryl CoA C27H39N7O20P3S	hmgcoa; hmgcoa[r]; hmgcoa_r	
leuktrB4_r	Leukotriene B4(1-)	leuktrB4; leuktrB4[r]; leuktrB4_r	VNYSSYRCGWBHLG-AMOLWHMGSA-M
leuktrB4woh_r	W-hydroxyl leukotriene B4	leuktrB4woh; leuktrB4woh[r]; leuktrB4woh_r	
lthstrl_r	5alpha-Cholest-7-en-3beta-ol	lthstrl; lthstrl[r]; lthstrl_r	IZVFFXVYBHFIHY-SKCNUYALSA-N
m_em_3gacpail_hs_r	M LPAREN em RPAREN 3gacpail hs r	m_LPAREN_em_RPAREN_3gacpail_hs_r; m_em_3gacpail_hs	
m6mpdol_U_r	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	m6mpdol_U; m6mpdol_U_r	
m7masnB_r	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	m7masnB; m7masnB[r]; m7masnB_r	SYSZENVIJHPFNL-UHFFFAOYSA-N
m7mpdol__L_r	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	m7mpdol_L_r; m7mpdol__L	
m8masn_r	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	m8masn; m8masn[r]; m8masn_r	
mem2emgacpail_hs_r	({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)	mem2emgacpail_hs; mem2emgacpail_hs[r]; mem2emgacpail_hs_r	
pchol_hs_r	Phosphatidylcholine (homo sapiens)	pchol_hs; pchol_hs[r]; pchol_hs_r	
pecgoncoa_r	Pseudoecgonyl-CoA	pecgoncoa; pecgoncoa[r]; pecgoncoa_r	LWFFRRDSDGEAQK-VISZMWHFSA-N
pepslys_r	Peptide sans lysine	pepslys; pepslys[r]; pepslys_r	
pre_prot_r	Glycophosphatidylinositol (GPI)-anchored protein precursor	pre_prot; pre_prot[r]; pre_prot_r	
prgnlone_r	Prgnlone c	prgnlone; prgnlone[r]; prgnlone_r	
prgstrn_r	Prgstrn c	prgstrn; prgstrn[r]; prgstrn_r	
prostgd2_r	Prostaglandin D2	prostgd2; prostgd2[r]; prostgd2_r	BHMBVRSPMRCCGG-OUTUXVNYSA-N
succ_r	Succinate	succ; succ[r]; succ_r	KDYFGRWQOYBRFD-UHFFFAOYSA-L
thcholstoic_r	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	thcholstoic; thcholstoic[r]; thcholstoic_r	CNWPIIOQKZNXBB-VCVMUKOKSA-N
tststerone_r	Tststerone c	tststerone; tststerone[r]; tststerone_r	
ump_r	UMP C9H11N2O9P	ump; ump[r]; ump_r	
xol27oh_r	27-Hydroxycholesterol	xol27oh; xol27oh[r]; xol27oh_r	FYHRJWMENCALJY-YSQMORBQSA-N
xol7a_r	7 alpha-Hydroxycholesterol	xol7a; xol7a[r]; xol7a_r	OYXZMSRRJOYLLO-RVOWOUOISA-N
xoltri27_r	7-alpha,27-Dihydroxycholesterol	xoltri27; xoltri27[r]; xoltri27_r	RXMHNAKZMGJANZ-DTTSCKGMSA-N
3h26dm5coa_x	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	3h26dm5coa; 3h26dm5coa[x]; 3h26dm5coa_x	LQMGDAUBYDSVAK-VEQIRKQXSA-N
3hpcoa_x	3-Hydroxypropionyl-CoA	3hpcoa; 3hpcoa[x]; 3hpcoa_x	BERBFZCUSMQABM-IEXPHMLFSA-N
5dpmev_x	 R  5 Diphosphomevalonate C6H10O10P2	5dpmev; 5dpmev[x]; 5dpmev_x	
5g2oxpt_x	2-Oxoarginine	5g2oxpt; 5g2oxpt[x]; 5g2oxpt_x	ARBHXJXXVVHMET-UHFFFAOYSA-N
acald_x	Acetaldehyde	acald; acald[x]; acald_x	IKHGUXGNUITLKF-UHFFFAOYSA-N
adrn_x	Adrenic acid	adrn; adrn[x]; adrn_x	TWSWSIQAPQLDBP-DOFZRALJSA-N
akdhap_hs_x	1-alkyldihydroxyacetone phosphate	akdhap_hs; akdhap_hs_x	
ala__L_x	L-Alanine	ala_DASH_L_x; ala_L[x]; ala_L_x; ala__L; ala__L_x	QNAYBMKLOCPYGJ-REOHCLBHSA-N
asp__D_x	D-Aspartate	asp_DASH_D_x; asp_D[x]; asp_D_x; asp__D; asp__D_x	CKLJMWTZIZZHCS-UWTATZPHSA-N
cholcoa_x	Choloyl-CoA(4-)	cholcoa; cholcoa[x]; cholcoa_x	ZKWNOTQHFKYUNU-JGCIYWTLSA-J
cholcoaone_x	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA	cholcoaone; cholcoaone[x]; cholcoaone_x	AWLXQJGPNLCTLM-YFXOTMPNSA-N
dhcholoylcoa_x	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	dhcholoylcoa; dhcholoylcoa[x]; dhcholoylcoa_x	SEBZZAWTQNNGPK-YOKOLYSVSA-N
dmnoncrn_x	4,8 dimethylnonanoyl carnitine	dmnoncrn; dmnoncrn[x]; dmnoncrn_x	DDTDJDZHDFMZED-UHFFFAOYSA-N
dmpp_x	Dimethylallyl diphosphate	dmpp; dmpp[x]; dmpp_x	CBIDRCWHNCKSTO-UHFFFAOYSA-N
fad_x	Flavin adenine dinucleotide oxidized	fad; fad[x]; fad_x	
forcoa_x	Formyl-CoA(4-)	formcoa; formcoa[x]; formcoa_x	SXMOKYXNAPLNCW-GORZOVPNSA-J
frdp_x	Farnesyl diphosphate	frdp; frdp[x]; frdp_x	VWFJDQUYCIWHTN-YFVJMOTDSA-N
gchola_x	Glycocholate	gchola; gchola[x]; gchola_x	RFDAIACWWDREDC-FRVQLJSFSA-N
glyclt_x	Glycolate C2H3O3	glyclt; glyclt[x]; glyclt_x	
grdp_x	Geranyl diphosphate	grdp; grdp[x]; grdp_x	GVVPGTZRZFNKDS-JXMROGBWSA-N
hmgcoa_x	Hydroxymethylglutaryl CoA C27H39N7O20P3S	hmgcoa; hmgcoa[x]; hmgcoa_x	
hxan_x	Hypoxanthine	hxan; hxan[x]; hxan_x	FDGQSTZJBFJUBT-UHFFFAOYSA-N
lnlncgcoa_x	Gamma-linolenoyl-CoA	lnlncgcoa; lnlncgcoa[x]; lnlncgcoa_x	XZQYPTBYQYZGRU-FHDVEODPSA-N
orn__D_x	D-Ornithine	orn_DASH_D_x; orn_D[x]; orn__D; orn__D_x	AHLPHDHHMVZTML-SCSAIBSYSA-N
pcrn_x	Propionyl-carnitine	pcrn; pcrn[x]; pcrn_x	UFAHZIUFPNSHSL-UHFFFAOYSA-N
phyt_x	Phytanic acid	phyt; phyt[x]; phyt_x	RLCKHJSFHOZMDR-UHFFFAOYSA-N
prpncoa_x	Propenoyl-CoA	prpncoa; prpncoa[x]; prpncoa_x	POODSGUMUCVRTR-IEXPHMLFSA-N
succ_x	Succinate	succ; succ[x]; succ_x	KDYFGRWQOYBRFD-UHFFFAOYSA-L
thcholstoic_x	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	thcholstoic; thcholstoic[x]; thcholstoic_x	CNWPIIOQKZNXBB-VCVMUKOKSA-N
xan_x	Xanthine	xan; xan[x]; xan_x	LRFVTYWOQMYALW-UHFFFAOYSA-N
7ohp_c	7-oxoheptanoic acid	7ohp; 7ohp_c	OOFMTFUTWFAVGC-UHFFFAOYSA-N
r5hbzi_c	N1-(alpha-D-ribosyl)-5-hydroxybenzimidazole	r5hbzi; r5hbzi_c	
Rh2cit_c	(R)-(homo)2citrate	Rh2cit; Rh2cit_c	LOUWLTSPEXZLSA-MRVPVSSYSA-K
alac__S_e	(S)-2-Acetolactate	alac_DASH_S_e; alac__S	NMDWGEGFJUBKLB-YFKPBYRVSA-N
dpgps_c	2,3-O-phytanyl-sn-glycero-1-phosphoserine	dpgps; dpgps_c	REWAKYJADCBFMU-BMCGWPBGSA-M
dggpg_c	2,3-di-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	dggpg; dggpg_c	
dggpi_c	2,3-di-O-geranyl-sn-glycero-1-phospho-myo-inositol	dggpi; dggpi_c	
dgggps_c	2,3-di-O-geranylgeranyl-sn-glyceroserine	dgggps; dgggps_c	
nabl_c	N-epsilon-acetyl-beta-lysine	nabl; nabl_c	
cbl1hbi_e	Cob(I)alamin-HBI	cbl1hbi; cbl1hbi_e	
glyc1p_c	Glycerol 1-phosphate	glyc1p; glyc1p_c	AWUCVROLDVIAJX-UHFFFAOYSA-N
3hdgggp_c	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol	3hdgggp; 3hdgggp_c	
cdpg_c	Cyclic 2,3-bisphospho-D-glycerate	cdpg; cdpg_c	PZJOIILIPTVGFU-UWTATZPHSA-N
com_c	Coenzyme m	com; com_c	ZNEWHQLOPFWXOF-UHFFFAOYSA-N
s_e	Sulfur	s; s[e]; s_e	NINIDFKCEFEMDL-UHFFFAOYSA-N
3hdggpg_c	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	3hdggpg; 3hdggpg_c	
unknown_cbl1deg_e	Unknown degradation product of cbl1 for adocbl-HBI synthesis	unknown_cbl1deg; unknown_cbl1deg_e	
f430p3_c	Coenzyme f430 precursor 3	f430p3; f430p3_c	
sf430a_c	15,17-seco-F430-17-acid	sf430a; sf430a_c	
mphenh2_c	Methanophenazine (reduced)	mphenh2; mphenh2_c	
menylh4spt_c	Methenyl-tetrahydrosarcinapterin	menylh4spt; menylh4spt_c	QGOKDCXFEPTZCX-YDYIGBEGSA-K
3hfrdp_c	3-hydroxy-farnesyl diphosphate	3hfrdp; 3hfrdp_c	
f420_1_c	Coenzyme ferredoxin 420-1	f420_1; f420_1_c; f420_DASH_1_c	
ptp_c	Triaminopyrimidine triphosphate	ptp; ptp_c	
h2mpt_c	7,8-dihydromethanopterin	h2mpt; h2mpt_c	WTMBWYHMZCVPRJ-WJBIZLLUSA-N
dhadrp_c	7,8-dihydropterin-6-ylmethyl-1-(4-aminophenyl)-1-deoxy-D-ribitol 5'-phosphate	dhadrp; dhadrp_c	
dhadrpr_c	7,8-dihydropterin-6-ylmethyl-1-(4-aminophenyl)-1-deoxy-5-[1-A-D-ribofuranosyl 5'-phosphate]-D-ribitol	dhadrpr; dhadrpr_c	
Largn_c	L-Arogenate	Largn; Largn[c]; Largn_c	MIEILDYWGANZNH-DSQUFTABSA-M
aracheACP_c	Cis-eicosa-11-enoyl-[acyl-carrier protein] (n-C20:1)	aracheACP; aracheACP[c]	
behenACP_c	Docosanoyl-ACP (n-C22:0)	behenACP; behenACP[c]	
cdp_inost_c	CDP-Inositol	cdp_inost; cdp_inost[c]	FWZKVMBRYZSGFS-MXIHWWRUSA-L
cell4_c	Cellulose (n=4 repeating units)	cell4; cell4[c]	
galman6_c	Galactomannan(n=6 repeat units mannose, alpha-1,4 man)	galman6; galman6[c]	
lmn2_c	Laminaribiose	lmn2; lmn2[c]	QIGJYVCQYDKYDW-LCOYTZNXSA-N
mantr_c	Mannotriose (beta-1,4)	mantr; mantr[c]	
manttr_c	Mannotetraose	manttr; manttr[c]	LUEWUZLMQUOBSB-MHJOMNRISA-N
pdip_d_d_c	Phospho-di-myo-inositol 1,1' phosphate	pdip_d_d; pdip_d_d[c]	
s2l2fn2m2masn_c	PA6	s2l2fn2m2masn; s2l2fn2m2masn[c]	JDTMNMAQWVSSOO-MRVPVSSYSA-N
trpglcur_c	Tryptophanyl-beta-D-glucuronide	trpglcur; trpglcur[c]	
xyl4_c	Xylotetraose	xyl4; xyl4[c]	KPTPSLHFVHXOBZ-BIKCPUHGSA-N
cell6_e	Cellulose (n=6 repeating units)	cell6; cell6[e]	
lmn30_e	Laminarin (n=30 repeat units, beta -1,3 glc)	lmn30; lmn30[e]	
clpn140_c	Cardiolipin (tetratetradecanoyl, n-C14:0)	clpn140; clpn140[c]	SDCJNZZAOLRVCP-GTOSQJSUSA-L
ham_c	Hydroxylamine	ham; ham[c]; ham_c	AVXURJPOCDRRFD-UHFFFAOYSA-N
murein4px4p_e	Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)	murein4px4p; murein4px4p[e]	
murein5p3p_e	Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)	murein5p3p; murein5p3p[e]	
12dgr160_h	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	12dgr160; 12dgr160_h	
12dgr1601819Z_h	1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))	12dgr1601819Z; 12dgr1601819Z_h	
12dgr18111Z1819Z_c	1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))	12dgr18111Z1819Z; 12dgr18111Z1819Z_c	
12dgr1819Z160_h	1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)	12dgr1819Z160; 12dgr1819Z160_h	
